Año,Trimestre,Provincia,Mbps (Media de bajada)
2021,1,Catamarca,3997.0
2021,1,Chaco,3363.0
2021,1,Chubut,7530.0
2021,1,Córdoba,3617.0
2021,1,Corrientes,2599.0
2021,1,Entre Ríos,2387.0
2021,1,Formosa,2098.0
2021,1,Jujuy,2678.0
2021,1,La Pampa,1073.0
2021,1,La Rioja,127.0
2021,1,Mendoza,126.0
2021,1,Misiones,2508.0
2021,1,Neuquén,3424.0
2021,1,Río Negro,2192.0
2021,1,Salta,2732.0
2021,1,San Juan,6910.0
2021,1,San Luis,2159.0
2021,1,Santa Cruz,7500.0
2021,1,Santa Fe,2813.0
2021,1,Santiago Del Estero,1158.0
2021,1,Tierra Del Fuego,8730.0
2021,1,Tucumán,3798.0
2020,4,Buenos Aires,5001.0
2020,4,Capital Federal,6733.0
2020,4,Catamarca,3765.0
2020,4,Chaco,3245.0
2020,4,Chubut,7380.0
2020,4,Córdoba,3512.0
2020,4,Corrientes,2545.0
2020,4,Entre Ríos,2405.0
2020,4,Formosa,197.0
2020,4,Jujuy,2521.0
2020,4,La Pampa,9880.0
2020,4,La Rioja,1253.0
2020,4,Mendoza,1109.0
2020,4,Misiones,2496.0
2020,4,Neuquén,3391.0
2020,4,Río Negro,2164.0
2020,4,Salta,2532.0
2020,4,San Juan,6410.0
2020,4,San Luis,2125.0
2020,4,Santa Cruz,7490.0
2020,4,Santa Fe,2729.0
2020,4,Santiago Del Estero,1128.0
2020,4,Tierra Del Fuego,8490.0
2020,4,Tucumán,3644.0
2020,3,Buenos Aires,4838.0
2020,3,Capital Federal,6381.0
2020,3,Catamarca,3654.0
2020,3,Chaco,308.0
2020,3,Chubut,7400.0
2020,3,Córdoba,3351.0
2020,3,Corrientes,2385.0
2020,3,Entre Ríos,2243.0
2020,3,Formosa,1828.0
2020,3,Jujuy,2191.0
2020,3,La Pampa,107.0
2020,3,La Rioja,1219.0
2020,3,Mendoza,1019.0
2020,3,Misiones,2414.0
2020,3,Neuquén,3146.0
2020,3,Río Negro,2108.0
2020,3,Salta,2526.0
2020,3,San Juan,6030.0
2020,3,San Luis,2085.0
