Año,Trimestre,Provincia,Otros,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 20 Mbps y 30 Mbps,Entre 30 Mbps y 50 Mbps,Entre 50 Mbps y 100 Mbps,Entre 100 Mbps y 200 Mbps,Entre 200 Mbps y 500 Mbps,Más de 500 Mbps
2022.0,3.0,Santiago Del Estero,989.0,178.0,1267.0,687.0,25496.0,661.0,971.0,5521.0,0.0,7843.0,10.0
2022.0,3.0,Tierra Del Fuego,2264.0,22.0,902.0,1.0,11648.0,3647.0,1309.0,175.0,33.0,259.0,1.0
2022.0,3.0,Tucumán,15118.0,39.0,1562.0,118.0,29878.0,1375.0,59447.0,54845.0,4.0,39212.0,30.0
2022.0,2.0,Buenos Aires,65849.0,30639.0,28323.0,24534.0,270704.0,848932.0,1001167.0,1501057.0,126386.0,173632.0,14452.0
2022.0,2.0,Capital Federal,105607.0,517.0,5980.0,334.0,35702.0,84627.0,407125.0,587349.0,49811.0,120082.0,11831.0
2022.0,2.0,Catamarca,2207.0,71.0,413.0,115.0,3563.0,3393.0,27440.0,14685.0,42.0,1759.0,0.0
2022.0,2.0,Chaco,3708.0,461.0,1072.0,780.0,16798.0,15985.0,46077.0,26030.0,0.0,4113.0,40.0
2022.0,2.0,Chubut,20021.0,109.0,1444.0,5486.0,40318.0,15515.0,14056.0,323.0,1.0,25.0,0.0
2022.0,2.0,Córdoba,13426.0,99.0,11971.0,9199.0,151300.0,28772.0,361400.0,225573.0,529.0,31322.0,449.0
2022.0,2.0,Corrientes,7107.0,67.0,3937.0,2959.0,21294.0,21733.0,28845.0,22570.0,0.0,3589.0,53.0
2022.0,2.0,Entre Ríos,16759.0,107.0,5656.0,4659.0,43978.0,32373.0,56221.0,37479.0,1.0,4973.0,77.0
2022.0,2.0,Formosa,590.0,97.0,407.0,1896.0,21938.0,595.0,7604.0,7608.0,0.0,1094.0,16.0
2022.0,2.0,Jujuy,2453.0,58.0,1829.0,1637.0,17821.0,549.0,29231.0,7309.0,1.0,644.0,206.0
2022.0,2.0,La Pampa,3012.0,68.0,1887.0,3943.0,58603.0,5250.0,14927.0,2132.0,39.0,24.0,0.0
2022.0,2.0,La Rioja,0.0,18.0,728.0,8.0,3171.0,5483.0,36890.0,11417.0,137.0,473.0,1.0
2022.0,2.0,Mendoza,3940.0,103.0,2954.0,4707.0,40254.0,65713.0,58259.0,14992.0,16.0,1927.0,2.0
2022.0,2.0,Misiones,8350.0,51.0,3808.0,11079.0,26175.0,19776.0,39383.0,28155.0,3852.0,3648.0,50.0
2022.0,2.0,Neuquén,18717.0,134.0,999.0,1561.0,37265.0,13691.0,35884.0,24172.0,196.0,5016.0,62.0
2022.0,2.0,Río Negro,24270.0,111.0,1227.0,2935.0,30429.0,18943.0,19634.0,14702.0,147.0,2086.0,174.0
2022.0,2.0,Salta,6494.0,114.0,1530.0,1553.0,32179.0,1171.0,48787.0,28182.0,0.0,4472.0,22.0
2022.0,2.0,San Juan,11617.0,24.0,2027.0,1405.0,28980.0,13799.0,6218.0,399.0,0.0,13.0,0.0
2022.0,2.0,San Luis,14815.0,60.0,306.0,100.0,6740.0,67440.0,11.0,0.0,0.0,0.0,0.0
2022.0,2.0,Santa Cruz,644.0,52.0,6841.0,2299.0,10049.0,2461.0,3331.0,254.0,0.0,0.0,0.0
2022.0,2.0,Santa Fe,17584.0,468.0,11757.0,9722.0,128812.0,58257.0,211725.0,142816.0,967.0,18040.0,197.0
2022.0,2.0,Santiago Del Estero,792.0,178.0,1401.0,687.0,28894.0,883.0,4283.0,5882.0,0.0,503.0,4.0
2022.0,2.0,Tierra Del Fuego,3351.0,22.0,831.0,1.0,12051.0,1747.0,845.0,92.0,33.0,0.0,1.0
2022.0,2.0,Tucumán,281.0,39.0,2195.0,119.0,34342.0,4863.0,81870.0,58053.0,4.0,5599.0,15.0
2022.0,1.0,Buenos Aires,26280.0,31591.0,30056.0,25142.0,288240.0,841241.0,1012125.0,1417587.0,106367.0,152661.0,12251.0
2022.0,1.0,Capital Federal,1717.0,527.0,5575.0,316.0,39602.0,93264.0,420964.0,559483.0,44048.0,104255.0,9347.0
2022.0,1.0,Catamarca,2207.0,71.0,456.0,144.0,4242.0,3761.0,21877.0,12464.0,42.0,1332.0,0.0
2022.0,1.0,Chaco,7580.0,461.0,1124.0,1007.0,15856.0,13023.0,36106.0,23289.0,0.0,3540.0,0.0
2022.0,1.0,Chubut,15607.0,113.0,1677.0,5624.0,55745.0,14484.0,13134.0,282.0,1.0,25.0,0.0
2022.0,1.0,Córdoba,13104.0,100.0,12782.0,9637.0,156298.0,35027.0,348823.0,201536.0,559.0,25949.0,25.0
2022.0,1.0,Corrientes,7094.0,67.0,4029.0,2959.0,21604.0,10466.0,20297.0,20220.0,0.0,3100.0,0.0
2022.0,1.0,Entre Ríos,16750.0,107.0,5745.0,4656.0,45419.0,21596.0,44247.0,33351.0,1.0,4140.0,0.0
2022.0,1.0,Formosa,588.0,97.0,448.0,1951.0,22162.0,720.0,7281.0,6829.0,0.0,914.0,0.0
2022.0,1.0,Jujuy,2442.0,58.0,1761.0,3996.0,18145.0,576.0,27838.0,6746.0,1.0,502.0,200.0
2022.0,1.0,La Pampa,2833.0,301.0,2223.0,3885.0,58927.0,5256.0,12719.0,1628.0,36.0,11.0,0.0
2022.0,1.0,La Rioja,0.0,18.0,778.0,6.0,3570.0,5647.0,35483.0,9990.0,137.0,358.0,0.0
